SOC,Voltage
0.0015151515151514696,1.4325153374233128
0.0060606060606061,0.8619631901840491
0.01060606060606062,0.7914110429447854
0.01666666666666661,0.6595092024539877
0.02121212121212124,0.5797546012269938
0.02272727272727271,0.5245398773006136
0.03030303030303028,0.4754601226993864
0.03939393939393932,0.4141104294478526
0.04545454545454541,0.3680981595092023
0.05303030303030298,0.3312883435582821
0.06666666666666665,0.28220858895705514
0.07878787878787874,0.24846625766871155
0.08939393939393936,0.2239263803680982
0.10151515151515143,0.22085889570552156
0.12727272727272732,0.21165644171779152
0.14242424242424245,0.2024539877300613
0.15909090909090914,0.19938650306748465
0.17727272727272725,0.19325153374233128
0.193939393939394,0.18404907975460127
0.2136363636363636,0.1809815950920246
0.2333333333333333,0.17177914110429435
0.2575757575757576,0.16564417177914104
0.2787878787878788,0.16257668711656434
0.303030303030303,0.15337423312883436
0.32878787878787885,0.14110429447852746
0.3515151515151516,0.13496932515337412
0.3712121212121211,0.13190184049079745
0.3924242424242424,0.128834355828221
0.5681818181818183,0.1257668711656441
0.5878787878787879,0.12269938650306746
0.6060606060606062,0.1165644171779141
0.6272727272727272,0.10122699386503076
0.6545454545454545,0.0950920245398772
0.6742424242424243,0.0950920245398772
0.6939393939393939,0.08895705521472386
0.7181818181818183,0.08895705521472386
0.7393939393939393,0.08588957055214719
0.8909090909090911,0.08282208588957074
0.9560606060606059,0.08272208588957074
0.9772727272727272,0.07975460122699385
1.0,0.07055214723926384
